participant_id,category,feature,value,percentile,z_score,population_comparison,plain_language_explanation,literature_concept,literature_language,source
3,symmetry,ankle_angle_rom_symmetry_index,9.422111947,97.61904762,2.211897152,above the reference mean by 2.21 SD,"The athlete's ankle_angle_rom_symmetry_index value is 9.42, which is above the dataset mean and at percentile 97.6. This is a descriptive symmetry observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
4,ankle,ankle_angle_left_minimum,-39.60863134,4.761904762,-0.6586625388,below the reference mean by 0.66 SD,"The athlete's ankle_angle_left_minimum value is -39.6, which is below the dataset mean and at percentile 4.8. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
4,ankle,ankle_angle_left_std,23.42230263,95.23809524,1.266135207,above the reference mean by 1.27 SD,"The athlete's ankle_angle_left_std value is 23.4, which is above the dataset mean and at percentile 95.2. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
4,ankle,ankle_angle_left_variance,551.1050318,95.23809524,1.225913541,above the reference mean by 1.23 SD,"The athlete's ankle_angle_left_variance value is 551, which is above the dataset mean and at percentile 95.2. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
4,ankle,ankle_angle_right_minimum,-39.63434356,4.761904762,-0.672829629,below the reference mean by 0.67 SD,"The athlete's ankle_angle_right_minimum value is -39.6, which is below the dataset mean and at percentile 4.8. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
4,hip,hip_flexion_left_median,72.97207537,95.23809524,1.680200534,above the reference mean by 1.68 SD,"The athlete's hip_flexion_left_median value is 73, which is above the dataset mean and at percentile 95.2. This is a descriptive hip observation, not a diagnosis or injury prediction.",Hip sagittal-plane mechanics,Hip flexion and trunk-lower-extremity strategy are discussed in landing biomechanics literature as part of movement-pattern assessment.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
4,hip,hip_flexion_left_std,40.23618313,95.23809524,1.258441072,above the reference mean by 1.26 SD,"The athlete's hip_flexion_left_std value is 40.2, which is above the dataset mean and at percentile 95.2. This is a descriptive hip observation, not a diagnosis or injury prediction.",Hip sagittal-plane mechanics,Hip flexion and trunk-lower-extremity strategy are discussed in landing biomechanics literature as part of movement-pattern assessment.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
4,hip,hip_flexion_left_variance,1633.299841,95.23809524,1.395036805,above the reference mean by 1.40 SD,"The athlete's hip_flexion_left_variance value is 1.63e+03, which is above the dataset mean and at percentile 95.2. This is a descriptive hip observation, not a diagnosis or injury prediction.",Hip sagittal-plane mechanics,Hip flexion and trunk-lower-extremity strategy are discussed in landing biomechanics literature as part of movement-pattern assessment.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
4,hip,hip_flexion_right_median,72.88952258,95.23809524,1.635423135,above the reference mean by 1.64 SD,"The athlete's hip_flexion_right_median value is 72.9, which is above the dataset mean and at percentile 95.2. This is a descriptive hip observation, not a diagnosis or injury prediction.",Hip sagittal-plane mechanics,Hip flexion and trunk-lower-extremity strategy are discussed in landing biomechanics literature as part of movement-pattern assessment.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
4,hip,hip_flexion_right_std,40.53917828,95.23809524,1.249713202,above the reference mean by 1.25 SD,"The athlete's hip_flexion_right_std value is 40.5, which is above the dataset mean and at percentile 95.2. This is a descriptive hip observation, not a diagnosis or injury prediction.",Hip sagittal-plane mechanics,Hip flexion and trunk-lower-extremity strategy are discussed in landing biomechanics literature as part of movement-pattern assessment.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
4,hip,hip_flexion_right_variance,1656.110067,95.23809524,1.353922955,above the reference mean by 1.35 SD,"The athlete's hip_flexion_right_variance value is 1.66e+03, which is above the dataset mean and at percentile 95.2. This is a descriptive hip observation, not a diagnosis or injury prediction.",Hip sagittal-plane mechanics,Hip flexion and trunk-lower-extremity strategy are discussed in landing biomechanics literature as part of movement-pattern assessment.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
4,knee,knee_flexion_left_median,72.99285947,95.23809524,1.399761431,above the reference mean by 1.40 SD,"The athlete's knee_flexion_left_median value is 73, which is above the dataset mean and at percentile 95.2. This is a descriptive knee observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
4,knee,knee_flexion_left_std,39.86713171,97.61904762,1.28686512,above the reference mean by 1.29 SD,"The athlete's knee_flexion_left_std value is 39.9, which is above the dataset mean and at percentile 97.6. This is a descriptive knee observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
4,knee,knee_flexion_left_variance,1594.867318,97.61904762,1.384129892,above the reference mean by 1.38 SD,"The athlete's knee_flexion_left_variance value is 1.59e+03, which is above the dataset mean and at percentile 97.6. This is a descriptive knee observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
4,knee,knee_flexion_right_median,74.33570187,95.23809524,1.474583757,above the reference mean by 1.47 SD,"The athlete's knee_flexion_right_median value is 74.3, which is above the dataset mean and at percentile 95.2. This is a descriptive knee observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
6,knee,knee_flexion_left_median,76.0735745,97.61904762,1.571594002,above the reference mean by 1.57 SD,"The athlete's knee_flexion_left_median value is 76.1, which is above the dataset mean and at percentile 97.6. This is a descriptive knee observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
6,knee,knee_flexion_right_median,76.06244768,97.61904762,1.569977476,above the reference mean by 1.57 SD,"The athlete's knee_flexion_right_median value is 76.1, which is above the dataset mean and at percentile 97.6. This is a descriptive knee observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
6,symmetry,hip_flexion_rom_absolute_difference,5.193976368,97.61904762,1.935771858,above the reference mean by 1.94 SD,"The athlete's hip_flexion_rom_absolute_difference value is 5.19, which is above the dataset mean and at percentile 97.6. This is a descriptive symmetry observation, not a diagnosis or injury prediction.",Hip sagittal-plane mechanics,Hip flexion and trunk-lower-extremity strategy are discussed in landing biomechanics literature as part of movement-pattern assessment.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
6,symmetry,hip_flexion_rom_symmetry_index,5.335492698,97.61904762,1.857401558,above the reference mean by 1.86 SD,"The athlete's hip_flexion_rom_symmetry_index value is 5.34, which is above the dataset mean and at percentile 97.6. This is a descriptive symmetry observation, not a diagnosis or injury prediction.",Hip sagittal-plane mechanics,Hip flexion and trunk-lower-extremity strategy are discussed in landing biomechanics literature as part of movement-pattern assessment.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
7,ankle,ankle_angle_left_time_to_peak,3.808666667,97.61904762,1.780811362,above the reference mean by 1.78 SD,"The athlete's ankle_angle_left_time_to_peak value is 3.81, which is above the dataset mean and at percentile 97.6. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
7,ankle,ankle_angle_right_time_to_peak,3.79,100,1.939595191,above the reference mean by 1.94 SD,"The athlete's ankle_angle_right_time_to_peak value is 3.79, which is above the dataset mean and at percentile 100.0. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
7,knee,knee_flexion_left_maximum,83.96666758,2.380952381,-1.912886267,below the reference mean by 1.91 SD,"The athlete's knee_flexion_left_maximum value is 84, which is below the dataset mean and at percentile 2.4. This is a descriptive knee observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
7,knee,knee_flexion_left_time_to_peak,3.833333333,100,2.053221202,above the reference mean by 2.05 SD,"The athlete's knee_flexion_left_time_to_peak value is 3.83, which is above the dataset mean and at percentile 100.0. This is a descriptive knee observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
7,knee,knee_flexion_right_time_to_peak,3.833333333,97.61904762,2.061915983,above the reference mean by 2.06 SD,"The athlete's knee_flexion_right_time_to_peak value is 3.83, which is above the dataset mean and at percentile 97.6. This is a descriptive knee observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
7,symmetry,knee_flexion_rom_percent_difference,4.547872716,95.23809524,2.028856069,above the reference mean by 2.03 SD,"The athlete's knee_flexion_rom_percent_difference value is 4.55, which is above the dataset mean and at percentile 95.2. This is a descriptive symmetry observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
7,symmetry,knee_flexion_rom_symmetry_index,-4.547872716,4.761904762,-2.012627886,below the reference mean by 2.01 SD,"The athlete's knee_flexion_rom_symmetry_index value is -4.55, which is below the dataset mean and at percentile 4.8. This is a descriptive symmetry observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
9,ankle,ankle_angle_left_rom,77.74628257,95.23809524,1.394292031,above the reference mean by 1.39 SD,"The athlete's ankle_angle_left_rom value is 77.7, which is above the dataset mean and at percentile 95.2. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
9,knee,knee_flexion_left_maximum,114.2693468,95.23809524,1.490829367,above the reference mean by 1.49 SD,"The athlete's knee_flexion_left_maximum value is 114, which is above the dataset mean and at percentile 95.2. This is a descriptive knee observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
9,knee,knee_flexion_left_rom,112.9843658,95.23809524,1.42855277,above the reference mean by 1.43 SD,"The athlete's knee_flexion_left_rom value is 113, which is above the dataset mean and at percentile 95.2. This is a descriptive knee observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
9,knee,knee_flexion_left_std,41.25618443,100,1.571474009,above the reference mean by 1.57 SD,"The athlete's knee_flexion_left_std value is 41.3, which is above the dataset mean and at percentile 100.0. This is a descriptive knee observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
9,knee,knee_flexion_left_variance,1704.55369,100,1.73174513,above the reference mean by 1.73 SD,"The athlete's knee_flexion_left_variance value is 1.7e+03, which is above the dataset mean and at percentile 100.0. This is a descriptive knee observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
10,ankle,ankle_angle_left_maximum,39.70354367,100,1.440359738,above the reference mean by 1.44 SD,"The athlete's ankle_angle_left_maximum value is 39.7, which is above the dataset mean and at percentile 100.0. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
10,ankle,ankle_angle_left_mean,21.28423511,97.61904762,2.226486715,above the reference mean by 2.23 SD,"The athlete's ankle_angle_left_mean value is 21.3, which is above the dataset mean and at percentile 97.6. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
10,ankle,ankle_angle_left_minimum,-20.88730882,100,3.992410117,above the reference mean by 3.99 SD,"The athlete's ankle_angle_left_minimum value is -20.9, which is above the dataset mean and at percentile 100.0. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
10,ankle,ankle_angle_left_rom,60.59085249,2.380952381,-2.766377517,below the reference mean by 2.77 SD,"The athlete's ankle_angle_left_rom value is 60.6, which is below the dataset mean and at percentile 2.4. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
10,ankle,ankle_angle_right_maximum,39.69302243,97.61904762,1.40377395,above the reference mean by 1.40 SD,"The athlete's ankle_angle_right_maximum value is 39.7, which is above the dataset mean and at percentile 97.6. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
10,ankle,ankle_angle_right_mean,20.74309335,97.61904762,2.161673936,above the reference mean by 2.16 SD,"The athlete's ankle_angle_right_mean value is 20.7, which is above the dataset mean and at percentile 97.6. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
